Date,Open,High,Low,Close,Adj Close,Volume
2022-05-17,58.630001,58.860001,58.200001,58.540001,58.038975,5860757
2022-05-18,59.450001,59.719101,58.139999,58.419998,57.919998,7162156
2022-05-19,57.720001,59.209999,57.639999,58.549999,58.549999,6387759
2022-05-20,58.950001,59.290001,57.419998,58.340000,58.340000,4415066
2022-05-23,59.509998,60.180000,59.360001,60.009998,60.009998,7815063
2022-05-24,59.119999,60.080002,58.869999,59.939999,59.939999,5028530
2022-05-25,59.830002,60.658401,59.389999,60.360001,60.360001,5567944
2022-05-26,60.459999,60.740002,59.764999,60.119999,60.119999,6775039
2022-05-27,59.700001,60.264999,59.450001,60.020000,60.020000,3907640
2022-05-31,60.740002,60.849998,59.145000,59.220001,59.220001,5117038
2022-06-01,59.630001,60.020000,58.916100,59.730000,59.730000,4058887
2022-06-02,58.830002,59.660000,58.689999,59.240002,59.240002,3395874
2022-06-03,58.930000,59.720001,58.930000,59.660000,59.660000,2645475
2022-06-06,60.419998,60.580002,59.881302,60.119999,60.119999,4211713
2022-06-07,60.200001,61.674999,60.169998,61.549999,61.549999,5188308
2022-06-08,60.830002,61.669998,60.750000,61.290001,61.290001,5538815
2022-06-09,60.740002,60.860001,59.509998,59.529999,59.529999,3478023
2022-06-10,57.939999,58.240002,57.470001,57.980000,57.980000,6548299
2022-06-13,56.000000,56.880001,55.034302,55.919998,55.919998,9485021
2022-06-14,55.910000,56.369999,54.310001,54.939999,54.939999,6042633
2022-06-15,55.230000,55.520000,53.840000,54.959999,54.959999,4413440
2022-06-16,52.680000,53.349400,52.325001,52.400002,52.400002,8441172
2022-06-17,51.770000,51.990002,49.521000,49.930000,49.930000,10816456
2022-06-21,52.540001,52.949902,52.230000,52.450001,52.450001,5114772
2022-06-22,50.709999,51.430000,50.369999,50.830002,50.830002,5231164
2022-06-23,50.840000,50.900002,48.639999,49.169998,49.169998,7500100
2022-06-24,50.470001,51.360001,50.240002,50.910000,50.910000,4831652
2022-06-27,51.650002,52.250000,51.410000,51.840000,51.840000,4882931
2022-06-28,53.439999,53.660000,52.599998,53.150002,53.150002,5387451
